F,DT,T,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
20194,0.0166675,3.31527588330209,-2.370805,0.4824688,-1.598103,12.45588,7.008219,0.1287037
20198,0.0166667,3.33194258250296,-2.370574,0.4819899,-1.599167,12.35078,7.034669,0.106726
20202,0.0166675,3.34861008264124,-2.370364,0.481528,-1.60077,12.20321,7.108995,0.1182448
20204,0.0166665,3.36527658253908,-2.369783,0.4815855,-1.601674,12.13235,7.159179,0.1337101
20208,0.016667,3.38194358162582,-2.369724,0.4810239,-1.602178,12.04929,7.241922,0.1619285
20210,0.0166669,3.39861048199236,-2.369597,0.4811564,-1.602904,11.97668,7.290558,0.1742452
20214,0.0166673,3.41527778282762,-2.370218,0.4812551,-1.603732,11.84175,7.337361,0.1928693
20216,0.0166666,3.43194438330829,-2.37038,0.4813128,-1.603631,11.73076,7.351081,0.2048515
20222,0.0166666,3.44861098378897,-2.370937,0.4816683,-1.603855,11.52099,7.355011,0.2237959
20224,0.0166668,3.46527778357267,-2.371068,0.4819598,-1.603588,11.41531,7.340364,0.2299901
20228,0.0166672,3.48194498382509,-2.371112,0.4826066,-1.603408,11.20381,7.303283,0.2162284
20230,0.0166676,3.49861258454621,-2.371886,0.4827575,-1.603774,11.09025,7.282155,0.2026454
20234,0.016666,3.51527858525515,-2.372187,0.4833247,-1.603463,10.87644,7.222452,0.1690382
20236,0.0166671,3.53194568492472,-2.372123,0.4837575,-1.603102,10.73821,7.182068,0.1623234
20242,0.0166667,3.54861238412559,-2.372542,0.4843649,-1.602983,10.47431,7.106678,0.1954838
20244,0.016667,3.56527938321233,-2.372694,0.4849746,-1.60291,10.32281,7.061319,0.221948
20248,0.0166672,3.58194658346474,-2.372994,0.4857196,-1.602917,10.0766,6.982321,0.2832458
20250,0.0166665,3.59861308336258,-2.373868,0.4857882,-1.603156,9.947865,6.940968,0.3215035
20254,0.0166672,3.61528028361499,-2.373998,0.4867797,-1.603396,9.761198,6.880247,0.3564476
20256,0.0166667,3.63194698281586,-2.374244,0.4869773,-1.603498,9.684299,6.857182,0.3490069
20262,0.0166674,3.64861438237131,-2.374788,0.4876213,-1.603901,9.568236,6.834089,0.3054432
20264,0.0166667,3.66528108157218,-2.374851,0.48832,-1.604142,9.518371,6.835263,0.2721805
20268,0.0166673,3.68194838240743,-2.375283,0.4890499,-1.604727,9.442905,6.853463,0.1787254
20270,0.0166664,3.69861478172243,-2.375299,0.4895924,-1.605092,9.404369,6.871303,0.1086676
20274,0.0166666,3.7152813822031,-2.375549,0.4902363,-1.605618,9.356743,6.929701,359.9592
20276,0.0166669,3.73194828256965,-2.375828,0.490416,-1.6058,9.342447,6.980204,359.8654
20282,0.0166705,3.74861878342927,-2.375963,0.4909882,-1.606281,9.344398,7.084505,359.7529
20284,0.0166633,3.76528208330274,-2.375924,0.4912561,-1.606613,9.363354,7.15112,359.7046
20288,0.0166675,3.78194958344102,-2.376016,0.4914779,-1.607144,9.440382,7.287286,359.6233
20290,0.0166683,3.79861788265407,-2.375881,0.491397,-1.607499,9.499202,7.373441,359.578
